Run,Parents,Average,Median
probe-output.03.14.2015,60,7178.316667,7959
probe-output.03.15.2015,40,5029.825,5183
probe-output.03.16.2015,54,6872.185185,6882.5
probe-output.03.18.2015.2,24,2942.416667,3007
probe-output.03.19.2015.5,21,2521.190476,2468
probe-output.03.19.2015.6,20,2518.05,2538
probe-output.03.19.2015.7,19,2320.421053,2304
probe-output.03.21.2015.5,47,5784.808511,5730
probe-output.03.21.2015.6,55,6957.109091,6979
probe-output.03.21.2015.7,43,5407.674419,5392
probe-output.03.21.2015.8,38,4750.605263,4753.5
probe-output.03.22.2015,52,6531.423077,6496.5
probe-output.03.22.2015.2,59,7268.152542,7291
probe-output.03.22.2015.3,52,6423.115385,6441.5
probe-output.03.22.2015.4,54,6695.185185,6711
probe-output.03.22.2015.5,44,5481.545455,5606.5
probe-output.03.23.2015,36,4288.027778,4359